category,tab,section,label,config_key,range_or_options,current_or_default,visibility,notes,source
Slider,Capture,General Capture,Capture FPS,capture_fps,0-240,n/a,GUI,Limits capture loop FPS. 0 disables the cap path and the GUI warns at 0 or 61+.,overlay/draw_capture.cpp
Activate/deactivate,Capture,General Capture,Circle mask,circle_mask,true/false,n/a,GUI,Applies the circular capture mask.,overlay/draw_capture.cpp
Activate/deactivate,Capture,General Capture,Use CUDA Direct Capture,capture_use_cuda,true/false,n/a,CUDA GUI,CUDA/TensorRT builds only. Available with duplication_api capture.,overlay/draw_capture.cpp
Activate/deactivate,Capture,Capture Preview,Show Preview Window,show_window,true/false,n/a,GUI,Shows the capture preview/debug frame inside the Capture tab.,overlay/draw_debug.cpp
Slider,Capture,Capture Preview,Debug scale,preview_debug_scale,0.1x-2.0x,n/a,GUI,Preview-only scale slider. It is not saved to config.ini.,overlay/draw_debug.cpp
Activate/deactivate,Capture,WinRT,Capture Borders,capture_borders,true/false,n/a,GUI,WinRT capture only. Disabled automatically on unsupported Windows builds.,overlay/draw_capture.cpp
Activate/deactivate,Capture,WinRT,Capture Cursor,capture_cursor,true/false,n/a,GUI,WinRT capture only. Includes the cursor in captured frames.,overlay/draw_capture.cpp
Slider,Capture,Virtual Camera,Virtual camera width,virtual_camera_width,128-3840,n/a,GUI,Applies when capture_method is virtual_camera.,overlay/draw_capture.cpp
Slider,Capture,Virtual Camera,Virtual camera heigth,virtual_camera_heigth,128-2160,n/a,GUI,Spelling follows the existing config key. Applies when capture_method is virtual_camera.,overlay/draw_capture.cpp
Activate/deactivate,Target,Targeting,Disable Headshot,disable_headshot,true/false,n/a,GUI,Prevents the head class from being selected as the aim target.,overlay/draw_target.cpp
Activate/deactivate,Target,Targeting,Auto Aim,auto_aim,true/false,n/a,GUI,Allows target selection/movement logic to act automatically while held conditions are met.,overlay/draw_target.cpp
Slider,Target,Offsets,Approximate Body Y Offset,body_y_offset,0.05-0.90,n/a,GUI,Vertical aim point used for body-class detections.,overlay/draw_target.cpp
Slider,Target,Offsets,Approximate Head Y Offset,head_y_offset,0.05-0.55,n/a,GUI,Vertical aim point used for head-class detections.,overlay/draw_target.cpp
Slider,Mouse,FOV,FOV X,fovX,10-120,n/a,GUI,Horizontal field of view for the mouse controller.,overlay/draw_mouse.cpp
Slider,Mouse,FOV,FOV Y,fovY,10-120,n/a,GUI,Vertical field of view for the mouse controller.,overlay/draw_mouse.cpp
Activate/deactivate,Mouse,State Estimator,Runtime latency sweep,runtime_latency_sweep_enabled,true/false,n/a,GUI,Enables side-by-side latency sweep behavior for estimator and PID experiments.,overlay/draw_mouse.cpp
Activate/deactivate,Mouse,State Estimator,Enable Kalman estimator,kalman_enabled,true/false,n/a,GUI,Enables Kalman filtering for target motion estimation.,overlay/draw_mouse.cpp
Activate/deactivate,Mouse,State Estimator,Seed velocity on acquire,kalman_velocity_seed_enabled,true/false,n/a,GUI,Seeds velocity from early measurement deltas during acquisition.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Acquisition frames,kalman_acquisition_frames,3-5,n/a,GUI,Frames used to ramp prediction weight after target acquisition.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Process noise position,kalman_process_noise_position,0.0001-5000,n/a,GUI,Position process noise. Higher values adapt faster to position changes.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Process noise velocity,kalman_process_noise_velocity,0.0001-50000,n/a,GUI,Velocity process noise. Higher values adapt faster to speed changes.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Measurement noise,kalman_measurement_noise,0.0001-5000,n/a,GUI,Measurement noise. Higher values trust detections less.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Velocity damping,kalman_velocity_damping,0.0-3.0,n/a,GUI,Damps velocity estimates to reduce runaway prediction.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Max velocity (px/s),kalman_max_velocity,100-60000,n/a,GUI,Maximum allowed tracked velocity.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Warmup frames,kalman_warmup_frames,0-20,n/a,GUI,Legacy warmup frames when latency sweep is off.,overlay/draw_mouse.cpp
Activate/deactivate,Mouse,State Estimator,Compensate detection delay,kalman_compensate_detection_delay,true/false,n/a,GUI,Accounts for detector latency in prediction.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Additional prediction (ms),kalman_additional_prediction_ms,-80.0-120.0,n/a,GUI,Manual extra prediction offset in milliseconds.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Reset timeout (s),kalman_reset_timeout_sec,0.05-3.0,n/a,GUI,Time without stable observations before estimator state resets.,overlay/draw_mouse.cpp
Activate/deactivate,Mouse,State Estimator,Ego-motion compensation,ego_motion_compensation_enabled,true/false,n/a,GUI,Opt-in tracker-prior compensation from emitted mouse/view motion. Raw detections and final mouse output are unchanged.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Ego compensation strength,ego_motion_compensation_strength,0.0-1.0,n/a,GUI,Fraction of recent emitted motion subtracted from tracker priors/history to reduce camera-motion jitter.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Ego max shift (px @640),ego_motion_compensation_max_shift_px,1-128,n/a,GUI,Per-frame compensation clamp at 640 detection resolution; scales with detection_resolution.,overlay/draw_mouse.cpp
Slider,Mouse,State Estimator,Ego max age (ms),ego_motion_compensation_max_age_ms,16-500,n/a,GUI,Drops stale emitted-motion samples so compensation fails closed.,overlay/draw_mouse.cpp
Slider,Mouse,Direct Targeting Movement,Deadzone (px),target_deadzone_px,0.000-20.000,n/a,GUI,Minimum target error radius before direct movement is emitted.,overlay/draw_mouse.cpp
Slider,Mouse,Direct Targeting Movement,Max step (px/frame),target_max_pixel_step,0.25-120.00,n/a,GUI,Maximum pixel-space movement emitted for one tracker observation.,overlay/draw_mouse.cpp
Slider,Mouse,Direct Targeting Movement,Output scale,target_output_scale,0.010-3.000,n/a,GUI,Multiplier applied to tracker aim-point error before clamping.,overlay/draw_mouse.cpp
Activate/deactivate,Mouse,Direct Targeting Movement,Calibrated pixel counts,target_calibrated_pixel_counts_enabled,true/false,n/a,GUI,Uses measured counts-per-pixel gains for direct targeting output instead of FOV/profile conversion when both gains are nonzero.,overlay/draw_mouse.cpp
Slider,Mouse,Direct Targeting Movement,Counts / px X,target_counts_per_pixel_x,-50.0000-50.0000,n/a,GUI,Horizontal calibrated mouse counts per screen-space pixel.,overlay/draw_mouse.cpp
Slider,Mouse,Direct Targeting Movement,Counts / px Y,target_counts_per_pixel_y,-50.0000-50.0000,n/a,GUI,Vertical calibrated mouse counts per screen-space pixel.,overlay/draw_mouse.cpp
Slider,Mouse,Game Profile,Sensitivity,Games.<profile>.sens,0.0010-10.0000,profile/local,GUI,Editable for custom profiles. UNIFIED is shown read-only.,overlay/draw_mouse.cpp
Slider,Mouse,Game Profile,Yaw,Games.<profile>.yaw,0.0010-0.1000,profile/local,GUI,Horizontal degree-to-count conversion for a custom profile.,overlay/draw_mouse.cpp
Slider,Mouse,Game Profile,Pitch,Games.<profile>.pitch,0.0010-0.1000,profile/local,GUI,Vertical degree-to-count conversion for a custom profile.,overlay/draw_mouse.cpp
Activate/deactivate,Mouse,Game Profile,FOV Scaled,Games.<profile>.fovScaled,true/false,profile/local,GUI,"When enabled, the profile also uses a Base FOV value.",overlay/draw_mouse.cpp
Slider,Mouse,Game Profile,Base FOV,Games.<profile>.baseFOV,10.0-180.0,profile/local,GUI,Shown only when FOV Scaled is enabled on a custom profile.,overlay/draw_mouse.cpp
Activate/deactivate,Mouse,Auto Shoot,Auto Shoot,auto_shoot,true/false,n/a,GUI,Enables automatic shooting behavior.,overlay/draw_mouse.cpp
Slider,Mouse,Auto Shoot,bScope Multiplier,bScope_multiplier,0.5-2.0,n/a,GUI,Multiplier used by auto-shoot scope timing/behavior. Disabled in UI until Auto Shoot is on.,overlay/draw_mouse.cpp
